Area;Price;Market;Rooms_num;Rent;District;Build_year;Garage;Lift;Basement;Balcony;Garden;Terrace;Floors_num;Floor_no;Construction_status;Latitude;Longitude;Link
54.0;699000;secondary;3;500;Maślice;2023;False;True;False;True;False;False;4;0;;51.15742;16.92714;https://www.otodom.pl/pl/oferta/okolice-ul-maslickiej-nowe2023-park-bez-pcc-2-ID4p3II
60.0;795000;secondary;3;700;Brochów;2018;True;True;True;True;False;True;3;3;ready_to_use;51.0656313;17.082044;https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-2-tarasy-garaz-syjamska-ID4p1Oi
53.24;749000;secondary;3;560;Gądów - Popowice Płd.;2016;True;True;False;True;False;False;11;1;ready_to_use;51.1252208;16.9680536;https://www.otodom.pl/pl/oferta/wysoki-standard-3-pokoje-duzy-balkon-gadow-ID4oYyD
74.83;897960;primary;3;;Tarnogaj;;True;False;False;True;False;False;7;6;to_completion;51.084595891841;17.061213390691;https://www.otodom.pl/pl/oferta/armii-krajowej-etap-ii-mieszkanie-b-8-m16-ID4jH1i
22.11;360393;primary;1;;Grabiszyn - Grabiszynek;;True;False;False;True;False;False;10;5;to_completion;51.09300461;16.97917768;https://www.otodom.pl/pl/oferta/ogrody-grabiszynskie-ii-etap-a-6-b-05-ID4dRc4
71.91;725875;primary;2;;Maślice;;True;False;False;True;False;False;2;2;to_completion;51.1561;16.92394;https://www.otodom.pl/pl/oferta/przystan-krolewiecka-iii-mieszkanie-k1-26-ID4kGjH
57.55;742395;primary;2;;Gajowice;;True;True;False;True;False;False;6;3;to_completion;51.103127411087;16.99889745582;https://www.otodom.pl/pl/oferta/stalova-mieszkanie-2-pok-4-k2-5-ID4mxtu
61.4;690000;secondary;3;;Nadodrze;2000;False;True;False;False;False;False;;6;;51.119538;17.038751;https://www.otodom.pl/pl/oferta/3pok-61-4m2-jednosci-narodowej-wyspa-slodowa-ID4p0lO
34.79;556000;secondary;2;;Stare Miasto;1900;;;;;;;;3;;51.110616;17.024648;https://www.otodom.pl/pl/oferta/2-pok-w-sercu-wroclawia-ul-ruska-stare-miasto-ID4oQH9
35.0;560000;secondary;2;;Stare Miasto;1960;;;;;;;;1;;51.11186;17.036147;https://www.otodom.pl/pl/oferta/mieszkanie-35-m-wroclaw-ID4oQHa
46.1;599000;secondary;2;650;Pilczyce - Kozanów - Popowice Płn.;1980;True;True;True;True;False;False;11;10;ready_to_use;51.13497;16.95353;https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-piekny-widok-ID4oLcr
53.6;470000;secondary;2;980;Przedmieście Oławskie;1910;False;False;True;False;False;False;5;5;ready_to_use;51.0983457;17.0528855;https://www.otodom.pl/pl/oferta/przedmiescie-olawskie-53-m2-mozliwe-3-pokoje-ID4osBr
90.72;1250000;primary;4;;Szczepin;2023;True;True;True;True;True;True;4;0;to_completion;51.118618;17.016218;https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-w-centrum-nad-rzeka-ID4eSW3
136.93;1049000;primary;5;;Wojszyce;2023;True;False;False;False;True;False;3;0;to_completion;51.057285;17.038029;https://www.otodom.pl/pl/oferta/szeregowka-segment-wroclaw-illakowiczowny-b3-ID4gSMz
117.82;980127;primary;5;;Maślice;2023;False;True;False;True;False;False;2;2;;51.15521;16.944658;https://www.otodom.pl/pl/oferta/bogatynska-apartamenty-mieszkanie-a2-2-15-ID4h7pT
61.0;750000;secondary;4;;Plac Grunwaldzki;1936;False;False;True;False;False;False;5;2;ready_to_use;51.114156;17.060447;https://www.otodom.pl/pl/oferta/piastowska-4-pokoje-inwestycyjnie-dla-rodziny-ID4p6sF
87.0;970000;secondary;4;1100;Gądów - Popowice Płd.;1995;False;True;True;True;False;False;8;5;ready_to_use;51.12484773987196;16.95994422983319;https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-4-pokojowe-mieszkanie-87-m2-ID4oMPP
68.4;967176;secondary;3;;Jagodno;2023;False;True;False;True;False;False;5;0;ready_to_use;51.06131;17.05268;https://www.otodom.pl/pl/oferta/nowe-mieszkanie-3-pokoje-ogrodek-2x-parking-ID4nIJ0
48.67;660000;secondary;3;;Jagodno;2023;False;False;False;True;False;False;5;1;ready_to_use;51.05574;17.05365;https://www.otodom.pl/pl/oferta/nowy-apartament-balkon-parking-kom-lokat-ID4ogOB
40.36;670000;secondary;2;;Krzyki - Partynice;2022;False;True;False;True;False;False;4;3;ready_to_use;51.076;16.9889;https://www.otodom.pl/pl/oferta/sprzedam-2-pok-balkon-2-x-garaz-w-hali-park-ID4p6rL
54.1;615000;secondary;3;;Powstańców Śląskich;1980;False;True;True;False;False;False;10;1;to_renovation;51.0923;17.0276;https://www.otodom.pl/pl/oferta/sprzedam-3pok-piwnica-parking-centrum-ID4p6rK
59.61;869000;secondary;3;800;Muchobór Wielki;2016;False;True;False;True;False;False;4;1;ready_to_use;51.10564773551425;16.943663346910085;https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-wysoki-standard-60m2-ID4oDDZ
49.03;699000;secondary;3;550;Psie Pole - Zawidawie;2023;False;True;False;True;False;False;2;1;;51.163605;17.14066;https://www.otodom.pl/pl/oferta/nowe-lux-pod-klucz-miejsce-parkingowe-bez-pcc-ID4p6r4
54.0;675000;secondary;2;550;Lipa Piotrowska;2023;False;True;False;True;False;False;2;2;;51.178728;16.99677;https://www.otodom.pl/pl/oferta/nowe-komfortowe-balkon-komorka-ID4p6qZ
72.0;765000;secondary;3;;Ołbin;1920;False;False;True;True;False;False;5;4;ready_to_use;51.1241;17.051;https://www.otodom.pl/pl/oferta/sprzedam-3pok-balkon-piwnica-strych-kamienica-ID4oyW8
56.0;795200;secondary;2;;Krzyki - Partynice;2022;False;True;False;False;True;True;4;0;ready_to_use;51.074;16.9923;https://www.otodom.pl/pl/oferta/sprzedam-duze-2-pok-garderoba-taras-30m2-ID4oEE3
60.82;1150000;secondary;3;;Grabiszyn - Grabiszynek;2010;False;False;False;True;False;False;4;1;ready_to_use;51.0806;16.9953;https://www.otodom.pl/pl/oferta/sprzedam-3-pok-balkon-widok-na-park-garaz-w-hal-ID4p1OG
60.64;667000;primary;3;;Lipa Piotrowska;;True;True;False;True;True;False;2;0;to_completion;51.173969;16.99616;https://www.otodom.pl/pl/oferta/trojstronne48m2-ogrodbalkongarazkomorka-ID4p6qS
